Process id,Burst Time,Arrival Time,Priority
1,90,70,6
2,21,6,5
3,77,96,6
4,59,9,1
5,47,6,1
6,27,10,6
7,72,116,10
8,43,123,5
9,69,123,4
10,62,60,2
11,43,36,0
12,42,111,7
13,95,51,7
14,84,57,10
15,46,20,0
16,48,73,1
17,43,4,0
18,87,18,0
19,16,34,2
20,62,96,8
21,85,96,10
22,11,83,5
23,96,84,10
24,56,79,1
25,22,65,1
26,64,64,4
27,95,90,2
28,43,58,10
29,97,82,1
30,25,57,6
31,59,57,8
32,25,103,3
33,34,108,3
34,47,14,5
35,71,75,2
36,19,78,10
37,85,42,6
38,40,30,4
39,85,115,0
40,62,32,4
41,85,26,8
42,48,25,3
43,32,33,8
44,57,11,0
45,39,117,5
46,77,107,10
47,23,79,9
48,27,46,5
49,26,25,2
50,84,69,5
51,28,46,9
52,33,20,3
53,82,46,2
54,11,17,0
55,87,32,8
56,11,21,6
57,71,99,4
58,68,88,7
59,85,119,9
60,93,5,2
61,79,111,1
62,50,21,1
63,72,71,6
64,18,5,0
65,38,64,7
66,36,93,5
67,86,105,6
68,29,115,3
69,26,113,4
70,34,3,8
71,100,61,7
72,43,123,8
73,67,37,3
74,46,88,4
75,42,105,2
76,30,49,5
77,66,116,4
78,82,103,9
79,19,46,9
80,10,54,8
81,33,24,7
82,13,68,10
83,50,88,7
84,47,123,8
85,24,72,6
86,96,4,10
87,51,97,1
88,72,76,9
89,53,100,8
90,75,45,0
91,31,36,7
92,49,92,0
93,97,32,10
94,24,122,10
95,84,120,3
96,12,17,2
97,53,95,6
98,56,9,7
99,68,62,0
100,22,68,3
101,18,116,10
102,96,64,1
103,36,120,0
104,44,46,2
105,34,115,4
106,41,85,3
107,56,104,8
108,88,6,10
109,12,13,6
110,94,19,1
111,64,26,0
112,28,122,8
113,49,111,3
114,23,72,7
115,29,59,6
116,58,49,9
117,18,67,7
118,52,108,7
119,76,9,7
120,44,20,7
121,87,46,7
122,78,94,1
123,80,91,3
124,11,53,1
125,90,122,1
126,19,90,6
127,43,68,3
128,74,84,7
129,20,0,2
130,100,17,1
131,75,7,7
132,97,88,10
133,56,29,6
134,96,88,6
135,74,18,2
136,71,66,0
137,16,29,5
138,52,92,10
139,32,46,1
140,15,14,5
141,94,64,2
142,81,8,7
143,97,86,9
144,24,35,0
145,20,74,5
146,21,101,5
147,58,52,5
148,56,46,9
149,66,79,1
150,73,82,0
151,13,80,4
152,48,22,6
153,15,16,1
154,38,41,5
155,39,66,2
156,77,23,9
157,73,53,4
158,14,97,4
159,74,38,10
160,42,120,8
161,84,101,7
162,81,1,8
163,72,113,6
164,91,97,7
165,37,85,0
166,35,117,7
167,90,20,9
168,24,18,3
169,11,0,8
170,65,29,4
171,89,79,4
172,40,79,4
173,76,95,10
174,30,19,9
175,90,40,6
176,97,97,0
177,46,8,5
178,35,32,3
179,18,103,6
180,98,44,6
181,11,27,10
182,57,44,7
183,48,103,0
184,22,97,9
185,18,37,9
186,93,57,3
187,55,12,0
188,18,47,8
189,39,33,1
190,42,20,5
191,67,32,1
192,12,73,10
193,95,40,8
194,65,105,3
195,49,62,7
196,47,77,10
197,68,0,7
198,13,87,2
199,55,97,8
200,55,23,1
