Process id,Burst Time,Arrival Time,Priority
1,43,91,1
2,56,37,1
3,93,62,10
4,51,60,2
5,49,74,10
6,67,58,4
7,48,66,5
8,92,55,2
9,20,34,4
10,93,39,9
11,34,9,1
12,36,92,9
13,36,0,3
14,29,63,1
15,30,112,5
16,93,47,4
17,51,48,0
18,64,94,4
19,66,13,4
20,89,31,6
21,12,67,0
22,88,25,6
23,35,76,5
24,57,117,8
25,59,113,7
26,54,0,4
27,47,50,4
28,75,98,8
29,51,66,2
30,93,99,3
31,52,34,6
32,38,106,8
33,87,33,0
34,48,26,4
35,16,42,2
36,12,98,7
37,92,58,1
38,86,56,0
39,31,17,8
40,70,33,5
41,19,8,7
42,10,79,4
43,90,112,7
44,68,28,5
45,89,119,2
46,94,111,1
47,39,92,9
48,36,13,3
49,51,22,4
50,29,83,4
51,87,59,7
52,21,11,7
53,69,31,5
54,33,111,1
55,48,6,10
56,94,98,5
57,88,19,8
58,88,56,5
59,65,46,1
60,65,28,5
61,28,36,1
62,93,104,1
63,30,95,9
64,78,89,10
65,23,86,7
66,23,113,8
67,29,89,0
68,30,30,2
69,19,82,10
70,96,88,5
71,15,115,7
72,16,22,4
73,86,100,2
74,74,28,10
75,51,118,4
76,24,31,3
77,61,6,9
78,97,123,0
79,55,4,8
80,77,115,7
81,56,30,5
82,84,61,7
83,26,26,1
84,15,49,0
85,99,8,9
86,65,81,6
87,19,123,2
88,75,23,0
89,36,8,6
90,80,110,9
91,21,29,0
92,76,46,8
93,51,41,6
94,26,61,8
95,39,117,2
96,28,36,1
97,64,26,9
98,54,14,7
99,27,18,1
100,65,33,7
101,89,110,3
102,75,91,5
103,11,34,10
104,52,102,7
105,25,23,4
106,82,13,5
107,63,105,10
108,76,121,8
109,15,51,10
110,100,1,2
111,80,48,0
112,13,31,4
113,68,19,1
114,25,107,4
115,91,113,1
116,27,12,2
117,98,34,0
118,14,49,2
119,57,26,6
120,78,52,10
121,73,1,6
122,89,9,1
123,78,106,1
124,84,92,4
125,43,111,4
126,38,104,0
127,31,47,10
128,68,76,1
129,85,39,5
130,97,16,5
131,27,84,2
132,75,83,4
133,53,74,0
134,71,39,10
135,50,115,2
136,95,99,7
137,35,74,10
138,72,116,5
139,24,91,9
140,93,115,1
141,91,19,7
142,18,76,3
143,23,61,0
144,24,30,3
145,13,113,4
146,71,111,4
147,34,58,10
148,55,19,6
149,17,44,4
150,31,120,1
151,60,30,1
152,65,57,10
153,80,54,8
154,23,14,7
155,92,66,3
156,76,12,4
157,74,39,0
158,30,70,7
159,75,101,6
160,10,115,5
161,57,103,9
162,23,74,7
163,11,4,2
164,46,16,5
165,50,43,10
166,95,5,0
167,66,24,10
168,57,99,5
169,32,115,1
170,99,7,9
171,11,57,1
172,81,2,0
173,80,11,0
174,40,59,0
175,17,21,3
176,36,26,3
177,44,119,6
178,12,71,4
179,39,26,7
180,93,107,5
181,11,102,4
182,80,39,6
183,49,50,4
184,44,29,0
185,43,12,7
186,49,42,10
187,69,47,4
188,18,55,10
189,55,58,4
190,93,39,9
191,22,85,3
192,91,55,7
193,14,64,0
194,59,6,1
195,26,53,1
196,92,118,9
197,82,35,3
198,85,13,5
199,92,27,4
200,89,2,4
