Process id,Burst Time,Arrival Time,Priority
1,21,71,3
2,92,52,7
3,86,2,10
4,99,78,6
5,33,46,7
6,36,122,5
7,32,113,7
8,22,14,6
9,24,40,10
10,82,72,4
11,62,38,1
12,15,57,9
13,13,104,3
14,70,116,4
15,42,113,5
16,13,36,5
17,58,48,6
18,95,36,2
19,79,11,9
20,97,60,9
21,32,119,6
22,94,70,10
23,29,5,2
24,23,26,5
25,95,99,1
26,29,106,1
27,68,66,7
28,68,48,8
29,73,45,8
30,42,27,4
31,47,44,3
32,37,86,9
33,41,90,6
34,73,103,8
35,94,108,2
36,22,10,9
37,65,50,4
38,79,1,8
39,14,95,7
40,43,9,2
41,79,107,3
42,58,86,9
43,74,104,5
44,56,72,4
45,93,16,0
46,17,102,10
47,90,81,1
48,13,81,6
49,93,115,10
50,96,104,7
51,39,48,0
52,99,14,1
53,20,117,0
54,22,73,9
55,87,49,8
56,26,85,6
57,64,7,7
58,34,49,0
59,11,118,9
60,26,8,10
61,64,57,0
62,85,116,3
63,70,38,8
64,82,15,9
65,30,29,7
66,84,11,1
67,76,26,0
68,72,115,5
69,11,87,2
70,30,25,7
71,68,13,4
72,14,33,9
73,69,64,8
74,60,112,8
75,12,104,9
76,90,17,3
77,47,21,4
78,18,10,1
79,30,95,9
80,37,58,2
81,76,41,1
82,48,39,6
83,87,97,4
84,70,76,0
85,30,29,9
86,46,47,8
87,73,53,8
88,42,75,2
89,28,70,8
90,35,28,4
91,50,2,9
92,91,52,4
93,39,35,1
94,12,120,1
95,47,66,1
96,70,105,8
97,44,68,5
98,22,90,8
99,92,123,3
100,31,22,9
101,21,8,7
102,37,71,5
103,33,36,4
104,95,92,0
105,86,114,6
106,28,105,3
107,14,63,1
108,67,78,1
109,45,22,6
110,37,14,10
111,53,87,8
112,82,56,9
113,42,23,8
114,42,22,7
115,88,39,9
116,18,63,4
117,48,88,7
118,60,102,5
119,24,110,7
120,22,77,3
121,93,23,8
122,38,86,4
123,51,12,6
124,11,29,5
125,63,25,7
126,11,44,8
127,77,62,5
128,26,5,10
129,98,120,2
130,56,107,10
131,63,47,3
132,48,54,8
133,39,99,2
134,81,103,10
135,33,101,9
136,46,21,0
137,64,46,10
138,47,97,3
139,54,43,3
140,19,25,3
141,36,72,3
142,39,82,9
143,30,25,4
144,79,86,1
145,91,65,5
146,65,81,0
147,67,87,8
148,81,41,0
149,94,7,2
150,46,101,6
151,67,30,8
152,66,58,8
153,16,86,8
154,30,25,7
155,45,109,3
156,48,55,6
157,15,35,8
158,32,123,1
159,41,25,4
160,73,109,9
161,100,121,4
162,84,111,7
163,30,87,10
164,46,43,0
165,64,55,10
166,64,4,2
167,80,64,8
168,61,114,0
169,66,34,9
170,94,42,6
171,57,68,7
172,72,47,0
173,74,75,3
174,47,40,3
175,78,3,0
176,11,117,6
177,100,17,0
178,42,15,0
179,86,46,9
180,46,10,3
181,72,87,4
182,91,30,5
183,31,94,3
184,36,18,3
185,65,22,7
186,63,90,6
187,91,81,2
188,90,35,6
189,55,115,0
190,23,120,3
191,47,67,4
192,61,59,2
193,73,0,7
194,31,36,8
195,36,35,2
196,72,64,0
197,88,42,10
198,87,24,2
199,49,15,2
200,56,102,7
